frame,acc_x,acc_y,acc_z,timestamp
1,0.5556446,3.999683,8.760982,20231017_132252_484
2,0.5029541,3.9661524,8.871153,20231017_132252_504
3,0.45505372,4.028423,8.756192,20231017_132252_505
4,0.46463382,4.0044727,8.669971,20231017_132252_505
5,0.4981641,3.9853127,8.698711,20231017_132252_505
6,0.5843848,3.903882,8.669971,20231017_132252_505
7,0.6466553,4.0811133,8.660391,20231017_132252_506
8,0.63707525,3.9661524,8.708291,20231017_132252_506
9,0.5843848,3.9901028,8.765772,20231017_132252_506
10,0.5891748,3.9757326,8.856783,20231017_132252_506
11,0.6227051,3.9517825,8.784932,20231017_132252_509
12,0.6227051,3.9901028,8.842413,20231017_132252_510
13,0.57001466,4.0427933,8.708291,20231017_132252_513
14,0.56522465,4.014053,8.626861,20231017_132252_515
15,0.6179151,3.9613624,8.425679,20231017_132252_518
16,0.5748047,3.8799317,8.349038,20231017_132252_520
17,0.4981641,3.9757326,8.392149,20231017_132252_531
18,0.53169435,4.0427933,8.4304695,20231017_132252_531
19,0.5364844,4.152964,8.435259,20231017_132252_532
20,0.6179151,4.191284,8.57896,20231017_132252_532
21,0.5508545,4.1960745,8.56938,20231017_132252_533
22,0.5556446,4.133804,8.674761,20231017_132252_535
23,0.5508545,4.129014,8.717872,20231017_132252_538
24,0.52690434,4.119434,8.756192,20231017_132252_541
25,0.4742139,4.152964,8.717872,20231017_132252_543
26,0.5412744,4.1242237,8.856783,20231017_132252_546
27,0.6322852,4.023633,8.885523,20231017_132252_548
28,0.5604346,4.1002736,8.938213,20231017_132252_551
29,0.50774413,4.133804,8.952583,20231017_132252_553
30,0.46463382,4.033213,8.990904,20231017_132252_557
31,0.45026368,4.014053,9.096285,20231017_132252_558
32,0.45984375,4.0811133,9.1202345,20231017_132252_561
33,0.45505372,4.061953,8.938213,20231017_132252_563
34,0.49337405,4.033213,9.0148535,20231017_132252_566
35,0.4981641,4.0811133,8.971744,20231017_132252_568
36,0.4981641,4.014053,8.856783,20231017_132252_571
37,0.5029541,4.0667434,8.909473,20231017_132252_574
38,0.488584,4.0523734,8.957374,20231017_132252_576
39,0.50774413,4.023633,8.938213,20231017_132252_579
40,0.48379397,4.1050634,8.856783,20231017_132252_581
41,0.44547364,4.023633,8.804092,20231017_132252_583
