frame,acc_x,acc_y,acc_z,timestamp
116,0.92926764,4.3397756,8.837623,20231017_132312_126
117,0.977168,4.3349857,8.871153,20231017_132312_128
118,1.0011182,4.311035,8.818462,20231017_132312_131
119,0.9627979,4.287085,8.880733,20231017_132312_133
120,0.98195803,4.3158255,8.899893,20231017_132312_135
121,0.9963282,4.1960745,8.971744,20231017_132312_138
122,0.9867481,4.2056546,8.928633,20231017_132312_141
123,1.0442286,4.1864944,8.966953,20231017_132312_143
124,1.0394385,4.1242237,8.875943,20231017_132312_146
125,1.0059083,4.129014,8.890313,20231017_132312_148
126,1.0202783,4.148174,8.856783,20231017_132312_151
127,0.977168,4.095484,8.880733,20231017_132312_153
128,1.0490186,4.2104445,8.885523,20231017_132312_156
129,1.0106983,4.152964,8.871153,20231017_132312_158
130,0.96758795,4.157754,8.794512,20231017_132312_161
131,1.0059083,4.2008643,8.756192,20231017_132312_163
132,1.0011182,4.181704,8.780142,20231017_132312_166
133,1.0202783,4.157754,8.813672,20231017_132312_169
134,1.0298585,4.1721244,8.784932,20231017_132312_171
135,1.0250684,4.1002736,8.842413,20231017_132312_173
136,0.9867481,4.157754,8.818462,20231017_132312_176
137,1.0011182,4.1960745,8.828042,20231017_132312_179
138,0.9484278,4.157754,8.866363,20231017_132312_181
139,0.9436377,4.191284,8.885523,20231017_132312_184
140,0.9436377,4.1960745,8.875943,20231017_132312_186
141,0.91010743,4.176914,8.780142,20231017_132312_189
142,0.9388477,4.2296047,8.899893,20231017_132312_192
143,0.89573735,4.191284,8.871153,20231017_132312_194
144,0.9627979,4.2056546,8.828042,20231017_132312_196
145,0.97237796,4.2104445,8.837623,20231017_132312_199
146,0.9388477,4.176914,8.856783,20231017_132312_201
147,0.977168,4.248765,8.885523,20231017_132312_204
148,1.0250684,4.2296047,8.890313,20231017_132312_207
149,0.9388477,4.263135,8.770562,20231017_132312_209
150,0.93405765,4.2056546,8.842413,20231017_132312_212
151,0.9148975,4.248765,8.885523,20231017_132312_214
152,0.97237796,4.1864944,8.813672,20231017_132312_217
153,0.9532178,4.176914,8.851993,20231017_132312_219
154,0.9436377,4.2248144,8.8951025,20231017_132312_222
155,0.9053174,4.181704,8.837623,20231017_132312_224
156,1.0011182,4.358936,8.837623,20231017_132312_227
157,0.9532178,4.263135,8.828042,20231017_132312_230
158,0.98195803,4.2104445,8.837623,20231017_132312_232
159,0.9867481,4.263135,8.789722,20231017_132312_234
160,1.0585986,4.3062453,8.866363,20231017_132312_237
161,1.0250684,4.2343946,8.899893,20231017_132312_239
162,1.0825489,4.296665,8.885523,20231017_132312_242
163,1.0442286,4.3254056,8.8951025,20231017_132312_245
164,1.0059083,4.239185,8.866363,20231017_132312_247
165,0.98195803,4.267925,8.871153,20231017_132312_250
166,1.0154883,4.3206153,8.976534,20231017_132312_252
167,1.0394385,4.2343946,8.909473,20231017_132312_255
168,1.0585986,4.2248144,8.923843,20231017_132312_257
169,1.0154883,4.2296047,8.832832,20231017_132312_260
170,1.0298585,4.2343946,8.890313,20231017_132312_262
171,1.0585986,4.2104445,8.880733,20231017_132312_265
172,1.0202783,4.3062453,8.919053,20231017_132312_268
173,1.0298585,4.282295,8.923843,20231017_132312_270
174,0.97237796,4.277505,8.832832,20231017_132312_272
175,1.0154883,4.282295,8.885523,20231017_132312_275
176,0.9867481,4.3014555,8.938213,20231017_132312_277
177,0.9484278,4.1960745,8.880733,20231017_132312_280
178,0.9484278,4.277505,8.875943,20231017_132312_282
179,0.8861573,4.253555,9.0148535,20231017_132312_285
180,0.93405765,4.258345,8.943004,20231017_132312_288
181,0.977168,4.2439747,8.837623,20231017_132312_290
182,0.9580079,4.1864944,8.986114,20231017_132312_293
183,0.9915381,4.2056546,8.875943,20231017_132312_295
184,0.9436377,4.191284,8.990904,20231017_132312_298
185,0.96758795,4.2200246,8.880733,20231017_132312_300
186,1.0154883,4.2439747,8.957374,20231017_132312_303
187,0.96758795,4.167334,8.914263,20231017_132312_306
188,0.97237796,4.1864944,8.914263,20231017_132312_308
189,0.9244776,4.248765,8.861572,20231017_132312_310
190,0.9580079,4.2056546,8.909473,20231017_132312_313
191,0.97237796,4.272715,8.837623,20231017_132312_316
192,0.91010743,4.239185,8.832832,20231017_132312_318
193,0.92926764,4.2152348,8.823253,20231017_132312_321
194,0.96758795,4.253555,8.808882,20231017_132312_323
195,0.9053174,4.263135,8.818462,20231017_132312_326
196,0.9148975,4.287085,8.823253,20231017_132312_328
197,0.9627979,4.2439747,8.823253,20231017_132312_331
198,0.9580079,4.3014555,8.851993,20231017_132312_334
199,0.9388477,4.248765,8.871153,20231017_132312_336
200,0.89573735,4.358936,8.808882,20231017_132312_338
201,0.9532178,4.287085,8.861572,20231017_132312_341
202,0.9388477,4.3158255,8.823253,20231017_132312_343
203,0.9244776,4.248765,8.770562,20231017_132312_346
204,0.9484278,4.3158255,8.789722,20231017_132312_349
205,0.9388477,4.253555,8.804092,20231017_132312_351
206,0.9532178,4.3397756,8.717872,20231017_132312_354
207,0.98195803,4.287085,8.756192,20231017_132312_357
